;BP 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ENERO;;FEBRERO;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOSTO;;SEPTIEMBRE;;OCTUBRE;;NOVIEMBRE;;DICIEMBRE;;TOTAL 2026;;;TOTAL R2025;;;2026 vs R2025;;;2026 vs R2025;;;;;FACTURACIÓN;;;;;
Factor;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;IN;OUT;;IN;OUT;;IN;OUT;;IN;OUT;;;;2026;R2025;2026 vs R2025;;;
CABINAS;519101;509192;509237;525777;543735;500019;511006;546830;609831;567715;567020;569800;524925;639773;276083;334065;612986;467551;593689;594798;565419;540725;395793;432580;6228825;6228825;;6.242.027 €;6.228.825 €;;-0,20%;0,00%;;-13.202 €; -    ;;;PRODUCTO PROPIO;15595591;15461096;134495;0,0087;;1554900,88
CABINAS FAIN;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;42588;511054;511054;;343.437 €;376.559 €;;48,80%;35,70%;;167.617 €;134.495 €;;;SCHINDLER;686587;2030739;-1344153;-0,6619;; -    
CHASIS MOCHILA;193714;190574;168161;193857;187461;182263;177347;172628;183711;201023;214663;176447;165451;207878;76404;89124;202673;159153;209061;206412;199105;187647;139374;150118;2117125;2117125;;2.113.762 €;2.117.125 €;;0,20%;0,00%;;3.362 €; -    ;;;TKE;2004532;2198175;-193643;-0,0881;;547539,68
CHASIS ELECTRICO;149332;136508;156913;152054;151770;151653;160416;136490;196637;175364;183062;166767;181196;231320;77919;58543;230226;199633;144517;173586;137635;157805;96344;126244;1865967;1865967;;1.945.106 €;1.865.967 €;;-4,10%;0,00%;;-79.139 €; -    ;;;KONE;2679447;5672179;-2992732;-0,5276;;378496,03
CHASIS CONTRAPESO;109784;92981;96230;103658;98364;102578;95649;94776;107002;99945;120764;93095;103849;131790;44277;46447;124382;113272;101268;108856;96446;98960;67512;79168;1165527;1165527;;1.187.286 €;1.165.527 €;;-1,80%;0,00%;;-21.759 €; -    ;;;OTIS;4111641;3904620;207021;0,053;;265226,17
SOPORTERIA;182620;193235;198079;196520;164864;176389;174440;169808;197543;194644;224570;163141;188374;222781;74940;85532;218629;185773;189099;201602;180095;183275;126066;146620;2119320;2119320;;2.155.556 €;2.119.320 €;;-1,70%;0,00%;;-36.236 €; -    ;;;POWER;9054948;8221205;833743;0,1014;;495260,5
VARIOS PP;113810;116445;138662;121021;107690;121724;127045;108198;148400;131108;142276;168307;112032;162821;50364;43672;116847;110009;150872;139951;143687;127228;100581;101782;1452266;1452266;;1.426.087 €;1.452.266 €;;1,80%;0,00%;;26.179 €; -    ;;;WALLBOX;500000;301243;198757;0,6598;;395139,74
CABINAS ESP; -    ; -    ; -    ;9519; -    ; -    ;9463; -    ; -    ; -    ;40124;9463;73076; -    ; -    ; -    ;12161;40123;38538;38538;12909;12909; -    ; -    ;186271;110552;;186.271 €;110.552 €;;0,00%;0,00%;; -    ; -    ;;;;34632745;37789257;-3156512;-0,0835;;-24272
CHASIS ESP; -    ;2864; -    ; -    ;2841; -    ; -    ; -    ; -    ;2841;14851; -    ;4070; -    ; -    ; -    ;9722;15182;4069;4069; -    ; -    ; -    ; -    ;35553;24956;;35.553 €;24.956 €;;0,00%;0,00%;; -    ; -    ;;;;;;;;;-6528
