Part Nr;Mat Description;New Sales Price;NOTAS;NUEVOS CP357;;NUEVOS CP361;;NUEVOS CP365;;ANULADOS CP365;;NUEVOS CP369;;ANULADOS CP369;;NUEVOS CP373;;ANULADOS CP373
S0PF56225661;Lateral fixation (SG<300) H50 cpl.;18,65;;;;;;;;;;;;;;;;
S0PF56225667;Lateral bracket (SG≥300) H50 cpl.;75,84;;;;;;;;;;;;;;;;
S0PF00993423;Anchor bolt Hilti HST3-M12x115/20 BW kit;0,81;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF00995050;Anchor bolt Hilti HSA-M16x117 BW kit;1,02;;;;;;;;;;;;;;;;
S0PF56225669;Lateral bracket (SG≥300) T75 cpl.;92,87;;;;;;;;;;;;;;;;
S0PF56225663;Lateral fixation (SG<300) T75 cpl.;30,21;;;;;;;;;;;;;;;;
S0PF56225668;Lateral bracket (SG≥300) H75 cpl.;95,30;;;;;;;;;;;;;;;;
S0PF50810328;PAIR OF FISHPLATES T89/B THK.13 M12;20,03;;;;;;;;;;;;;;;;
S0PF56225662;Lateral fixation (SG<300) H75 cpl.;39,04;;;;;;;;;;;;;;;;
S0PF50807781;Bag 8 un sliding clip SL50_25 (H50);1,60;;;;;;;;;;;;;;;;
S0PF56225725;Bag sliding clip SL3 for Z (x8);5,84;;;;;;;;;;;;;;;;
S0PF56225376;SA Oleo LSB16.B;54,79;;;;;;;;;;;;;;;;
S0PF51972832;Cwt guide T127 shim 0,5 mm kit;0,18;;;;;;;;;;;;;;;;
S0PF51200002;Hook bolt w.nut 40/22-M12x40 4 units kit;4,41;;;;;;;;;;;;;;;;
S0PF51972831;Cwt guide T89 shim 0,5 mm kit;0,18;;;;;;;;;;;;;;;;
S0PF51200878;FISHPLATE H75 HARDWARE BAG;0,68;;;;;;;;;;;;;;;;
S0PF51972829;Cwt guide T75 shim 0,5 mm kit;0,17;;;;;;;;;;;;;;;;
S0PF51972833;Cwt guide H75 shim 0,5 mm kit;0,17;;;;;;;;;;;;;;;;
S0PF51972834;Cwt guide H50 shim 0,5 mm kit;0,15;;;;;;;;;;;;;;;;
S0PF51201329;CTO.SOPORTE IMPACTO CORTO BUFFER TD201(E;28,62;;;;;;;;;;;;;;;;
S0PF56226271;Fixpoint support type 3 T75 left cpl.;27,89;;;;;;;;;;;;;;;;
S0PF59392940;TSD21 Stop Support left 2STM cpl. T75;30,66;;;;;;;;;;;;;;;;
S0PF59392934;SOPORTE TSD21 T75 DER. 2STM HSK;30,00;;;;;;;;;;;;;;;;
S0PF59392931;SOPORTE TSD21 T75 IZQ. 2STM HSK;29,95;;;;;;;;;;;;;;;;
S0PF57806630;OIL COLLECTOR H=20;1,20;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF57642441;Oil Collector BFK=10;1,06;;;;;;;;;;;;;;;;
S0PF57642442;Oil Collector BFK=16;1,06;;;;;;;;;;;;;;;;
S0PF57853702;ANTI-SNAG GUARD CPL.-Z BRACKET;42,56;;;;;;;;;;;;;;;;
S0PF59502586;"End Conn. ""Wed"" L=500 sl+spD PV50";20,82;;;;;;;;;;;;;;;;
S0PF59313308;Telescopic bar kit for duplex kit 1;9,00;;;;;;;;;;;;;;;;
S0PF56226273;Fixpoint support type 3 T75 right cpl.;30,54;;;;;;;;;;;;;;;;
S0PF59502584;"End Conn. ""Wed"" L=500 sl+spD PV40";13,87;;;;;;;;;;;;;;;;
S0PF59502585;"End Conn. ""Wed"" L=360 sl+spD PV50 no esp";17,54;;;;;;;;;;;;;;;;
S0PF56226326;Sticker HGP = 100 ( 0/-20  );0,14;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF56226327;Sticker HGP = 130 ( 0/-20 );0,14;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF56226328;Sticker HGP= 70 ( 0/-10 );0,14;;;;;;;;;;;;;;;;
S0PF56226329;Sticker HGP = 85 ( 0/-10 );0,14;;;;;;;;;;;;;;;;
S0PF59502583;"End Conn. ""Wed"" L=360 sl+spD PV40 no esp";11,40;;;;;;;;;;;;;;;;
S0PF59392937;SOPORTE TSD21 T75 IZQ. 2STM HSG;32,20;;;;;;;;;;;;;;;;
S0PF51201322;BRAZO PESO TENSOR TD 201 EN81 - 20/50;11,90;;;;;;;;;;;;;;;;
S0PF57638232;SA AC Energy accumulation buffer 100x80;4,92;;;;;;;;;;;;;;;;
S0PF50807761;Sticker for pit set Omega brackets;0,12;;;;;;;;;;;;;;;;
S0PF51201450;STINGL FOLDABLE LADDER KIT L=3150;355,37;;;;;;;;;;;;;;;;
S0PF57638231;SA AC Energy accumulation buffer 80x80;4,70;;;;;;;;;;;;;;;;
S0PF51200045;Bag sliding clip SL3 Short (T75) (x8);5,78;;;;;;;;;;;;;;;;
S0PF59386333;Safety Cube Sticker laying;0,61;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF59386335;Safety Cube Sticker upright;0,82;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF51201449;STINGL FOLDABLE LADDER KIT L=2600;308,51;;;;;;;;;;;;;;;;
S0PF56226046;PUNTO FIJO TIPO 2 T89 CWT MI;35,25;;;;;;;;;;;;;;;;
S0PF56226045;PUNTO FIJO TIPO 2 T89 CWT MD;35,26;;;;;;;;;;;;;;;;
S0PF51200046;Bag sliding clip SL4 Short (T89) (x8);7,28;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF59502581;"End Conn. ""Wed"" L=420 sl+spE PV30";8,22;;;;;;;;;;;;;;;;
S0PF50808278;V15 PICKING BOX 340x200x100 mm;0,78;;;;;;;;;;;;;;;;
S0PF59502582;"End Conn. ""Wed"" L=500 sl+spE PV30";10,26;;;;;;;;;;;;;;;;
S0PF56226485;PAL Z AL 0 CL 0 T75;6,38;;;;;;;;;;;;;;;;
S0PF59314505;Cepsa oil container HH150 1L kit;3,50;;;;;;;;;;;;;;;;
S0PF51977822;ANTI-SNAG GUARD FOR SALSIS BAND;30,01;;;;;;;;;;;;;;;;
S0PF51200048;Bag sliding clip SL2 (T75 CTW) (x8);3,90;;;;;;;;;;;;;;;;
S0PF00360820;Motor/buffer oil container HPL68 1L kit;3,44;;;;;;;;;;;;;;;;
S0PF50809703;CWT ACCESSORIES BOX PV40 BFK30 ZZ2 ZINC;124,22;;;;;;;;;;;;;;;;
S0PF59503102;"End Conn. ""Wed"" L=360 sl+spE PV30 no esp";7,27;;;;;;;;;;;;;;;;
S0PF56226323;CWT ACCESSORIES BOX PV50 BFK30 ZZ2;117,07;;;;;;;;;;;;;;;;
S0PF51201438;Tension device arm mod. left overspeed;100,43;;;;;;;;;;;;;;;;
S0PF59502580;"End Conn. ""Wed"" L=420 sl+spE PV30 no esp";8,63;;;;;;;;;;;;;;;;
S0PF50809702;CWT ACCESSORIES BOX PV40 BFK10 ZZ2 ZINC;147,76;;;;;;;;;;;;;;;;
S0PF51200879;Bag sliding clip SL75 (x8);5,50;;;;;;;;;;;;;;;;
S0PF56226489;CWT ACCESSORIES BOX 4STM BFK30 I13;143,67;;;;;;;;;;;;;;;;
S0PF50809704;CWT ACCESSORIES BOX PV50 ZZ2 BFK10 ZINC;148,98;;;;;;;;;;;;;;;;
S0PF56226320;CWT ACCESSORIES BOX PV40 BFK10 ZZ2;139,13;;;;;;;;;;;;;;;;
S0PF56226483;PAL Z AL 1-13 CL 1-13 T75;4,76;;;;;;;;;;;;;;;;
S0PF57631840;Actuating lever kit;7,97;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF56226322;CWT ACCESSORIES BOX PV50 ZZ2 BFK10;140,67;;;;;;;;;;;;;;;;
S0PF56225996;Slack STM Switch 2xPV30 cpl. 15 m;22,23;;;;;;;;;;;;;;;;
S0PF56226132;MECH SMP V2 packaging (2560x1124x420);81,28;;;;;;;;;;;;;;;;
S0PF56225999;Slack STM Switch 4xPV30 cpl. 3,6m;21,37;;;;;;;;;;;;;;;;
S0PF56226321;CWT ACCESSORIES BOX PV40 BFK30 ZZ2;115,14;;;;;;;;;;;;;;;;
S0PF51201442;Tension device short arm mod. left over.;77,70;;;;;;;;;;;;;;;;
S0PF50809705;CWT ACCESSORIES BOX PV50 BFK30 ZZ2 ZINC;129,58;;;;;;;;;;;;;;;;
S0PF50809697;CWT ACCESSORIES BOX 4STM BFK30 I13 ZINC;149,04;;;;;;;;;;;;;;;;
S0PF56226043;Fixpoint Assy Type 2 T75 CWT R;36,82;;;;;;;;;;;;;;;;
S0PF56226044;FIXPOINT WELDED ASSY CWT=L T75;36,83;;;;;;;;;;;;;;;;
S0PF51200043;SILICA GEL 150 gr BAG KIT;0,58;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF57615797;Safety Cube Sticker crouching (2 pax);0,87;;;;;;;;;;;;;;;;
S0PF57615798;Safety Cube Sticker laying (2 pax);0,87;;;;;;;;;;;;;;;;
S0PF56225619;CWT ACCESSORIES BOX 4 STM BFK30;108,08;;;;;;;;;;;;;;;;
S0PF50809695;CWT ACCESSORIES BOX 4 STM BFK10 ZINC;140,57;;;;;;;;;;;;;;;;
S0PF57638253;P+S Type D2 100X80 EN81&GOST/UKCA 1.0;4,28;;;;;;;;;;;;;;;;
S0PF56225618;CWT ACCESSORIES BOX 4 STM BFK10;129,48;;;;;;;;;;;;;;;;
S0PF56225990;Slack STM Switch 2xPV30 cpl. 3,6 m;20,32;;;;;;;;;;;;;;;;
S0PF56225739;Z-AL2 T75;5,31;;;;;;;;;;;;;;;;
S0PF57638251;P+S Type D0 80X80 EN81&GOST/UKCA 1.0;4,04;;;;;;;;;;;;;;;;
S0PF56225957;Pal Z AL5;6,44;;;;;;;;;;;;;;;;
S0PF56225616;CWT ACCESSORIES BOX 2 STM BFK10;96,61;;;;;;;;;;;;;;;;
S0PF56226161;SOPORTE GUÍA T89 DS LATERAL LFKP82;11,79;;;;;;;;;;;;;;;;
S0PF57807744;Kit for H75-1 top rail w/o backing plate;70,44;;;;;;;;;;;;;;;;
S0PF52513990;Weight block GBP tension device kit;1,83;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF50809696;CWT ACCESSORIES BOX 4 STM BFK30 ZINC;121,17;;;;;;;;;;;;;;;;
S0PF56225961;Slack detector 1S type B 2xSTM CPL. 3,6;21,48;;;;;;;;;;;;;;;;
S0PF56226287;CWT ACCESSORIES BOX 2 STM BFK10 SO;114,18;;;;;;;;;;;;;;;;
S0PF56303719;FISHPLATE H50 HARDWARE BAG;0,44;;;;;;;;;;;;;;;;
S0PF56226005;Slack STM Switch 4xPV30 cpl. 15m;25,08;;;;;;;;;;;;;;;;
S0PF56226272;Fixpoint support type 3 T89 left cpl.;37,73;;;;;;;;;;;;;;;;
S0PF56226274;Fixpoint support type 3 T89 right cpl.;37,73;;;;;;;;;;;;;;;;
S0PF51201448;RUNG LADDER KIT L = 3200 EN81-20/50;68,10;;;;;;;;;;;;;;;;
S0PF56226288;CWT ACCESSORIES BOX 4STM BFK10 SO;149,71;;;;;;;;;;;;;;;;
S0PF57642336;Z-CL7;11,04;;;;;;;;;;;;;;;;
S0PF50809693;CWT ACCESSORIES BOX 2 STM BFK10 ZINC;106,68;;;;;;;;;;;;;;;;
S0PF56225620;CWT ACCESSORIES BOX 2 4 STM BFK10 S;52,89;;;;;;;;;;;;;;;;
S0PF50809709;Z-AL0E/CL0E T75 or T89LH;8,86;;;;;;;;;;;;;;;;
S0PF56225617;CWT ACCESSORIES BOX 2 STM BFK30;69,60;;;;;;;;;;;;;;;;
S0PF57850271;MACHINE SUPPORT SPACER T75;24,07;;;;;;;;;;;;;;;;
S0PF50809707;CWT ACCESSORIES BOX 4STM BFK10 SO ZINCED;175,11;;;;;;;;;;;;;;;;
S0PFA6225945;O-B L 1002 106 1_T75_H50;34,28;;;;;;;;;;;;;;;;
S0PF56225964;Slack Detector 1S Type B 4xSTM cpl. 3,6;23,65;;;;;;;;;;;;;;;;
S0PF56226300;Screen fixation cpl. AC GSI T89;5,89;;;;;;;;;;;;;;;;
S0PFAB201451;Kit rung ladder.Bernstein/Omron switch;28,34;;;;;;;;;;;;;;;;
S0PF56226070;CTO. TSD BRACKET ZZR2 T75 HSK;72,62;;;;;;;;;;;;;;;;
S0PF56226298;Lateral screen fixation H75/T75 LH cpl.;2,05;;;;;;;;;;;;;;;;
S0PF56225956;Z-AL4;5,77;;;;;;;;;;;;;;;;
S0PF57642340;Z-CL9;14,22;;;;;;;;;;;;;;;;
S0PF51973767;RUNG LADDER L =2400 KIT;36,19;;;;;;;;;;;;;;;;
S0PF50809694;CWT ACCESSORIES BOX 2 STM BFK30 ZINC;86,03;;;;;;;;;;;;;;;;
S0PF51200865;Anchor bolt Hilti HST M16x140 BW D50 kit;3,44;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF50807814;Slack STM Switch 2xPV30 cpl. 30 m;31,29;;;;;;;;;;;;;;;;
S0PF57812105;ANTI-SNAG GUARD CPL. OMEGA BRACKET;22,73;;;;;;;;;;;;;;;;
S0PF59383725;FISHPLATE SET T75-3/B THK.18 M12;11,16;;;;;;;;;;;;;;;;
S0PF57642338;Z-CL8;12,78;;;;;;;;;;;;;;;;
S0PF50807815;Slack STM Switch 4xPV30 cpl. 30m;33,51;;;;;;;;;;;;;;;;
S0PF00995039;Anchor bolt Hilti HSA-M12x100 BW kit;0,46;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF51975303;OKKAT foldable ladder kit L=3150;213,49;;;;;;;;;;;;;;;;
S0PF59372710;FISHPLATE SET T89 THK.19 M12;15,27;;;;;;;;;;;;;;;;
S0PF50809706;CWT ACCESSORIES BOX 2 STM BFK10 SO ZINC;140,46;;;;;;;;;;;;;;;;
S0PF51975302;OKKAT foldable ladder kit L=2600;178,42;;;;;;;;;;;;;;;;
S0PF56226299;Screen fixation cpl. AC GSI T75;5,20;;;;;;;;;;;;;;;;
S0PF50807812;Slack detector 1S type B 2xSTM CPL. 30 m;32,73;;;;;;;;;;;;;;;;
S0PF56225740;Pal Z AL2 T89;6,17;;;;;;;;;;;;;;;;
S0PFA6225948;O-B H 1002 106 1_T75_H50;45,95;;;;;;;;;;;;;;;;
S0PF59313307;Telescopic profiles for Landing door fix;12,27;;;;;;;;;;;;;;;;
S0PF56226002;Slack STM Switch 4xPV30 cpl. 7,2m;22,87;;;;;;;;;;;;;;;;
S0PF56225390;KIT FOLDABLE LADDER SF≥200;30,99;;;;;;;;;;;;;;;;
S0PF56226484;Pal Z AL 1-13 CL 1-13 T89;5,74;;;;;;;;;;;;;;;;
S0PF57812709;ASSY BUFFER IMPACT PLATE FOR VKN 1.75 m;38,06;;;;;;;;;;;;;;;;
S0PF57642328;Z-CL3;7,52;;;;;;;;;;;;;;;;
S0PF57632063;Z-AL6;7,13;;;;;;;;;;;;;;;;
S0PF50810124;TSD omega BH wall interface;11,84;;;;;;;;;;;;;;;;
S0PF50807813;Slack Detector 1S Type B 4xSTM cpl. 30;35,41;;;;;;;;;;;;;;;;
S0PF57850839;PUNTO FIJO T75 ZZR2;49,10;;;;;;;;;;;;;;;;
S0PF59386334;Safety Cube Sticker crouching;0,75;En ES1 y ES 5;;;;;;;;;;;;;;;
S0PF51201323;TD 201 Buffer impact support cpl EN81-20;16,58;;;;;;;;;;;;;;;;
S0PF56226032;SOPORTE GUÍA T75 DS LATERAL LFKP82;11,53;;;;;;;;;;;;;;;;
S0PF56303594;Set 4 chemical bolt HIT-V-5.8 M12x110+HI;18,49;;;;;;;;;;;;;;;;
S0PF56226293;PANTALLA DE PROTECCION BGS1032 H50;27,31;;;;;;;;;;;;;;;;
S0PF56225955;Z-AL3;6,82;;;;;;;;;;;;;;;;
S0PF56225963;Slack Detector 1S Type B 2xSTM cpl. 15 m;26,17;;;;;;;;;;;;;;;;
S0PF56226286;CWT ACCESSORIES BOX 2/4 STM BFK10 S SO;71,08;;;;;;;;;;;;;;;;
S0PF51971981;Thin wall fixation plate kit;38,67;;;;;;;;;;;;;;;;
S0PFA6225946;O-B L 1002 106 1_T89_H75/T75;33,15;;;;;;;;;;;;;;;;
S0PF57850460;CTO. SOPORTE PESA SUPERIOR CONTRAPESO BG;7,39;;;;;;;;;;;;;;;;
S0PF56226089;Bag of screws protection screen LH & A&B;11,34;;;;;;;;;;;;;;;;
S0PF56225966;Slack Detector 1S Type B 4xSTM cpl. 15 m;28,64;;;;;;;;;;;;;;;;
