Codigo_Ubicacion;Estanteria;Modulo;Altura;Sububicacion;Activo;ID_tipo_ubica;largo_max_m;ancho_max_r;altura_max_n;peso_max_kg;Estado;Id_Almacen;Contenedores_p
A1.1.0;A;1;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A1.1.1;A;1;1;1;1;1;1200;800;600;1000;VACIO;1;3
A1.1.2;A;1;2;1;1;1;1200;800;600;1000;VACIO;1;3
A1.1.3;A;1;3;1;1;1;1200;800;600;1000;VACIO;1;3
A1.1.4;A;1;4;1;1;1;1200;800;600;1000;VACIO;1;3
A1.1.5;A;1;5;1;1;1;1200;800;600;1000;VACIO;1;3
A1.1.6;A;1;6;1;1;1;1200;800;600;1000;VACIO;1;3
A1.2.0;A;1;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A1.2.1;A;1;1;2;1;1;1200;800;600;1000;VACIO;1;3
A1.2.2;A;1;2;2;1;1;1200;800;600;1000;VACIO;1;3
A1.2.3;A;1;3;2;1;1;1200;800;600;1000;VACIO;1;3
A1.2.4;A;1;4;2;1;1;1200;800;600;1000;VACIO;1;3
A1.2.5;A;1;5;2;1;1;1200;800;600;1000;VACIO;1;3
A1.2.6;A;1;6;2;1;1;1200;800;600;1000;VACIO;1;3
A1.3.0;A;1;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A1.3.1;A;1;1;3;1;1;1200;800;600;1000;VACIO;1;3
A1.3.2;A;1;2;3;1;1;1200;800;600;1000;VACIO;1;3
A1.3.3;A;1;3;3;1;1;1200;800;600;1000;VACIO;1;3
A1.3.4;A;1;4;3;1;1;1200;800;600;1000;VACIO;1;3
A1.3.5;A;1;5;3;1;1;1200;800;600;1000;VACIO;1;3
A1.3.6;A;1;6;3;1;1;1200;800;600;1000;VACIO;1;3
A2.1.0;A;2;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A2.1.1;A;2;1;1;1;1;1200;800;600;1000;VACIO;1;3
A2.1.2;A;2;2;1;1;1;1200;800;600;1000;VACIO;1;3
A2.1.3;A;2;3;1;1;1;1200;800;600;1000;VACIO;1;3
A2.1.4;A;2;4;1;1;1;1200;800;600;1000;VACIO;1;3
A2.1.5;A;2;5;1;1;1;1200;800;600;1000;VACIO;1;3
A2.1.6;A;2;6;1;1;1;1200;800;600;1000;VACIO;1;3
A2.2.0;A;2;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A2.2.1;A;2;1;2;1;1;1200;800;600;1000;VACIO;1;3
A2.2.2;A;2;2;2;1;1;1200;800;600;1000;VACIO;1;3
A2.2.3;A;2;3;2;1;1;1200;800;600;1000;VACIO;1;3
A2.2.4;A;2;4;2;1;1;1200;800;600;1000;VACIO;1;3
A2.2.5;A;2;5;2;1;1;1200;800;600;1000;VACIO;1;3
A2.2.6;A;2;6;2;1;1;1200;800;600;1000;VACIO;1;3
A2.3.0;A;2;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A2.3.1;A;2;1;3;1;1;1200;800;600;1000;VACIO;1;3
A2.3.2;A;2;2;3;1;1;1200;800;600;1000;VACIO;1;3
A2.3.3;A;2;3;3;1;1;1200;800;600;1000;VACIO;1;3
A2.3.4;A;2;4;3;1;1;1200;800;600;1000;VACIO;1;3
A2.3.5;A;2;5;3;1;1;1200;800;600;1000;VACIO;1;3
A2.3.6;A;2;6;3;1;1;1200;800;600;1000;VACIO;1;3
A3.1.0;A;3;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A3.1.1;A;3;1;1;1;1;1200;800;600;1000;VACIO;1;3
A3.1.2;A;3;2;1;1;1;1200;800;600;1000;VACIO;1;3
A3.1.3;A;3;3;1;1;1;1200;800;600;1000;VACIO;1;3
A3.1.4;A;3;4;1;1;1;1200;800;600;1000;VACIO;1;3
A3.1.5;A;3;5;1;1;1;1200;800;600;1000;VACIO;1;3
A3.1.6;A;3;6;1;1;1;1200;800;600;1000;VACIO;1;3
A3.2.0;A;3;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A3.2.1;A;3;1;2;1;1;1200;800;600;1000;VACIO;1;3
A3.2.2;A;3;2;2;1;1;1200;800;600;1000;VACIO;1;3
A3.2.3;A;3;3;2;1;1;1200;800;600;1000;VACIO;1;3
A3.2.4;A;3;4;2;1;1;1200;800;600;1000;VACIO;1;3
A3.2.5;A;3;5;2;1;1;1200;800;600;1000;VACIO;1;3
A3.2.6;A;3;6;2;1;1;1200;800;600;1000;VACIO;1;3
A3.3.0;A;3;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A3.3.1;A;3;1;3;1;1;1200;800;600;1000;VACIO;1;3
A3.3.2;A;3;2;3;1;1;1200;800;600;1000;VACIO;1;3
A3.3.3;A;3;3;3;1;1;1200;800;600;1000;VACIO;1;3
A3.3.4;A;3;4;3;1;1;1200;800;600;1000;VACIO;1;3
A3.3.5;A;3;5;3;1;1;1200;800;600;1000;VACIO;1;3
A3.3.6;A;3;6;3;1;1;1200;800;600;1000;VACIO;1;3
A4.1.0;A;4;0;1;1;1;1200;800;1000;10000;VACIO;1;5
A4.1.1;A;4;1;1;1;1;1200;800;600;1000;VACIO;1;3
A4.1.2;A;4;2;1;1;1;1200;800;600;1000;VACIO;1;3
A4.1.3;A;4;3;1;1;1;1200;800;600;1000;VACIO;1;3
A4.1.4;A;4;4;1;1;1;1200;800;600;1000;VACIO;1;3
A4.1.5;A;4;5;1;1;1;1200;800;600;1000;VACIO;1;3
A4.1.6;A;4;6;1;1;1;1200;800;600;1000;VACIO;1;3
A4.2.0;A;4;0;2;1;1;1200;800;1000;10000;VACIO;1;5
A4.2.1;A;4;1;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.2;A;4;2;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.3;A;4;3;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.4;A;4;4;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.5;A;4;5;2;1;1;1200;800;600;1000;VACIO;1;3
A4.2.6;A;4;6;2;1;1;1200;800;600;1000;VACIO;1;3
A4.3.0;A;4;0;3;1;1;1200;800;1000;10000;VACIO;1;5
A4.3.1;A;4;1;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.2;A;4;2;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.3;A;4;3;3;1;1;1200;800;600;1000;VACIO;1;3
A4.3.4;A;4;4;3;1;1;1200;800;600;1000;VACIO;1;3
